ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Barasano-41-feminine-1-1,Barasano-41-feminine-1,g.o,41-feminine-1,false,expert,Chacon2014,g o,expert,Chacon2014
Desano-41-feminine-1-1,Desano-41-feminine-1,g.o,41-feminine-1,false,expert,Chacon2014,g o,expert,Chacon2014
Karapan-41-feminine-1-1,Karapan-41-feminine-1,o,41-feminine-1,false,expert,Chacon2014,- o,expert,Chacon2014
Koreguahe-41-feminine-1-1,Koreguahe-41-feminine-1,o,41-feminine-1,false,expert,Chacon2014,- o,expert,Chacon2014
Kubeo-41-feminine-1-1,Kubeo-41-feminine-1,k.o,41-feminine-1,false,expert,Chacon2014,k o,expert,Chacon2014
Maihiki-41-feminine-1-1,Maihiki-41-feminine-1,o,41-feminine-1,false,expert,Chacon2014,- o,expert,Chacon2014
Piratapuyo-41-feminine-1-1,Piratapuyo-41-feminine-1,k.o,41-feminine-1,false,expert,Chacon2014,k o,expert,Chacon2014
Sekoya-41-feminine-1-1,Sekoya-41-feminine-1,o,41-feminine-1,false,expert,Chacon2014,- o,expert,Chacon2014
Siona-41-feminine-1-1,Siona-41-feminine-1,g.o,41-feminine-1,false,expert,Chacon2014,g o,expert,Chacon2014
Tukano-41-feminine-1-1,Tukano-41-feminine-1,g.o,41-feminine-1,false,expert,Chacon2014,g o,expert,Chacon2014
Wanano-41-feminine-1-1,Wanano-41-feminine-1,k.o,41-feminine-1,false,expert,Chacon2014,k o,expert,Chacon2014
Prototucanoan-41-feminine-1-1,Prototucanoan-41-feminine-1,kʔ.o,41-feminine-1,false,expert,Chacon2014,kˀ o,expert,Chacon2014
Barasano-88-non3rdanimateperson-1-1,Barasano-88-non3rdanimateperson-1,b.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,b ɨ,expert,Chacon2014
Desano-88-non3rdanimateperson-1-1,Desano-88-non3rdanimateperson-1,b.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,b ɨ,expert,Chacon2014
Kubeo-88-non3rdanimateperson-1-1,Kubeo-88-non3rdanimateperson-1,w.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,w ɨ,expert,Chacon2014
Sekoya-88-non3rdanimateperson-1-1,Sekoya-88-non3rdanimateperson-1,w.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,w ɨ,expert,Chacon2014
Siona-88-non3rdanimateperson-1-1,Siona-88-non3rdanimateperson-1,w.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,w ɨ,expert,Chacon2014
Tukano-88-non3rdanimateperson-1-1,Tukano-88-non3rdanimateperson-1,p.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,p ɨ,expert,Chacon2014
Prototucanoan-88-non3rdanimateperson-1-1,Prototucanoan-88-non3rdanimateperson-1,pʔ.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,pˀ ɨ,expert,Chacon2014
Barasano-1-3rdpersonmasculine-1-1,Barasano-1-3rdpersonmasculine-1,m.ĩ,1-3rdpersonmasculine-3,false,expert,Chacon2014,m ĩ,expert,Chacon2014
Desano-1-3rdpersonmasculine-1-1,Desano-1-3rdpersonmasculine-1,m.ĩ,1-3rdpersonmasculine-3,false,expert,Chacon2014,m ĩ,expert,Chacon2014
Kubeo-1-3rdpersonmasculine-1-1,Kubeo-1-3rdpersonmasculine-1,b.i,1-3rdpersonmasculine-3,false,expert,Chacon2014,b i,expert,Chacon2014
Sekoya-1-3rdpersonmasculine-1-1,Sekoya-1-3rdpersonmasculine-1,p.i,1-3rdpersonmasculine-3,false,expert,Chacon2014,p i,expert,Chacon2014
Tukano-1-3rdpersonmasculine-1-1,Tukano-1-3rdpersonmasculine-1,m.ĩ,1-3rdpersonmasculine-3,false,expert,Chacon2014,m ĩ,expert,Chacon2014
Prototucanoan-1-3rdpersonmasculine-1-1,Prototucanoan-1-3rdpersonmasculine-1,p.i,1-3rdpersonmasculine-3,false,expert,Chacon2014,p i,expert,Chacon2014
Barasano-19-casenonnominatvie-1-1,Barasano-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
Desano-19-casenonnominatvie-1-1,Desano-19-casenonnominatvie-1,d.e,19-casenonnominatvie-4,false,expert,Chacon2014,d e,expert,Chacon2014
Karapan-19-casenonnominatvie-1-1,Karapan-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
