#id	Piratapuyo	Barasano	Desano	Koreguahe	Siona	Kubeo	Sekoya	Wanano	Tanimuka	Tuyuka	Tukano	Maihiki	Karapan	Kueretu	Yupua	Prototucanoan
41-feminine-1	k o	ɡ o	ɡ o	o	ɡ o	k o	o	k o	?	?	ɡ o	o	o	?	?	kˀ o
88-non3rdanimateperson-2	?	b ɨ	b ɨ	?	w ɨ	w ɨ	w ɨ	?	?	?	p ɨ	?	?	?	?	pˀ ɨ
1-3rdpersonmasculine-3	?	m ĩ	m ĩ	?	?	b i	p i	?	?	?	m ĩ	?	?	?	?	p i
19-casenonnominatvie-4	ɾ e	ɾ e	d e	ɾ e	ɾ e	d e	ɾ e	ɾ e	ɾ e	?	ɾ e	d e	ɾ e	?	?	tˀ e
76-locative-5	d o	d o	d o	?	ɾ o	n õ	ɾ o	d o	?	?	d o	d o	d o	?	?	tˀ o
107-snake-6	ã ɲ ã	ã ɲ ã	ã ɲ ã	ã ɲ ã	ã ɲ ã	ã ɲ ã	ã ɲ ã	ã ɲ ã	ã ɲ ã	ã ɲ ã	ã ɲ ã	ã ɲ ã	ã ɲ ã	h a j a	?	ã j a
61-hot-7	?	a ts i	a s i	a s u	h a ˀs u	?	?	s i	?	a s i	a s i	a tʃ u	a s i	h a t ɨ	a h ts i a m a	a ts ɨ
89-nose-8	?	ĩ ŋ ẽ	ĩ ˀŋ ĩ	ɨ̃ kʰ e	ũ kʷ e	ũ e k a	õ kʷ e	k ẽ	õ m ẽ	ẽ k ẽ ã	ẽ ˀk ẽ	ũ kʷ e	ɨ̃ k ẽ	k o m e	ɨ ɡ ɨ	ɨ̃ kʷˀ e
78-man-9	?	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	ɨ m ɨ	ɨ m ɨ	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	ɨ m ɨ	m ɨ̃	?	?	ɨ m ɨ
101-pupunha-10	ɨ̃ n ẽ	ɨ̃ n ẽ	ɨ̃ n ĩ	ɨ n e	ɨ n e	ɨ̃ n ẽ	?	ɨ̃ n ẽ	ĩ ɾ ẽ	?	ɨ̃ n ẽ	?	ɨ̃ n ẽ	ɨ ˀn e	?	ɨ n e
117-three-11	?	i d i a	ɨ ˀd e	?	?	?	?	t i a	?	i t i a	i ˀt i a	?	?	i t i a	?	ɨ tˀ i a
53-grape-12	?	ɨ j e	i ɡ i	ɨ j e	ɨ j e	ɨ j a i	?	s e	?	ɨ s e	ɨ ˀs e	e d e	ɨ s e	?	?	ɨ ˀj e
59-heron-13	?	j e h e	j a h i	?	?	j a i	j a i	j a h a	?	j e e	j a h e	j a i	j e e	?	?	j a h i
67-jaguar-14	?	j a i	j e e	j a i	j a i	j a w i	j a i	j a i	j a i a	?	j a i	j a i	j a i	h i j a i	?	j a i
20-centipede-15	?	?	ã ˀŋ ĩ	?	?	a w i m e k ɨ	?	ɲ ã ˀk ĩ	?	?	ã ˀk ĩ	?	?	?	?	ɲ ã kˀ i
20-centipede-146	?	?	?	?	?	?	?	?	?	m ũ n ĩ	?	?	?	?	?	?
29-deer-16	?	ɲ ã m ã	ɲ ã m ã	ɲ ã m a	ɲ ã m a	ɲ ã m ã	ɲ ã m a	ɲ ã m ã	ɲ ã m ã	ɲ ã m ã	ɲ ã m ã	?	ɲ ã m ã	ɲ ã m a	?	j a m a
141-yam-17	?	ɲ ã m õ	ɲ ã ˀm õ	ɲ ã h o	ɲ ã h o	ɲ ã m ũ	?	ɲ ã ˀm ũ	ɲ ã ˀm ũ	ɲ ã m ũ	ɲ ã ˀm ũ	ɲ ã h o	ɲ ã m õ	j a u	?	ɲ ã pˀ o
18-caradioscoreaalata-18	?	ɲ ã h ĩ	ɲ ã p ĩ	j a h i	?	ɲ ã p ĩ	j a h i	ɲ ã p ĩ	ɲ ã ˀp ĩ	?	ɲ ã p ĩ	?	ɲ ã p ĩ	j a h i ɾ i	?	j a p i
