index,source,target,context,proto language,daughter language
1,dʒ,tʃ,N/A,Proto-Afro-Asiatic,Proto-Omotic
2,tʃ,ʃ,N/A,Proto-Afro-Asiatic,Proto-Omotic
3,t,ɔ, / _s\#,Proto-Afro-Asiatic,Proto-Omotic
4,ɬ,l,N/A,Proto-Afro-Asiatic,Proto-Omotic
5,f,p,N/A,Proto-Afro-Asiatic,Proto-Omotic
6,aː,eː," / _\{\ipa{Q,q}\}\$",Proto-Afro-Asiatic,Proto-Omotic
7,a,e," / _\{\ipa{Q,q}\}\$",Proto-Afro-Asiatic,Proto-Omotic
8,q,ʔ,N/A,Proto-Afro-Asiatic,Proto-Omotic
9,ʕ,h,N/A,Proto-Afro-Asiatic,Proto-Omotic
10,w,ɔ," / \#C_V, except _\ipa{i(:)}",Proto-Afro-Asiatic,Proto-Omotic
11,e,i, / \#N_C,Proto-Omotic,North Omotic
12,e,i," / \#\ipa{l}_\{P,C[+voiced]\}",Proto-Omotic,North Omotic
13,e,i, / \#\ipa{b}_,Proto-Omotic,North Omotic
14,e,i, / \ipa{p}_\ipa{r},Proto-Omotic,North Omotic
15,e,i," / \#\{\ipa{s,S,ts'}\}_\{\ipa{k(w),P}\}",Proto-Omotic,North Omotic
16,e,i, / \#C_P,Proto-Omotic,North Omotic
17,o,u, / \#C_P,Proto-Omotic,North Omotic
18,e,i, / \#(\ipa{P})_C,Proto-Omotic,North Omotic
19,o,u, / \#(\ipa{P})_C,Proto-Omotic,North Omotic
20,e,i," / \#\{\ipa{k('),x}\}_\{\ipa{t('),ts'}\}",Proto-Omotic,North Omotic
21,o,u," / \#\{\ipa{k('),x}\}_\{\ipa{t('),ts'}\}",Proto-Omotic,North Omotic
22,e,i, / \#(\ipa{P})_C\$,Proto-Omotic,North Omotic
23,o,u, / \#(\ipa{P})_C\$,Proto-Omotic,North Omotic
24,e,i," / \#P_\{\ipa{ts',tS'}\}",Proto-Omotic,North Omotic
25,o,u," / \#P_\{\ipa{ts',tS'}\}",Proto-Omotic,North Omotic
26,a,o," / \#\{\ipa{z,dZ}\}_P",Proto-Omotic,North Omotic
27,eː,iː," / \#C[+sibilant]_\{\ipa{d,n,r}\}",Proto-Omotic,North Omotic
28,e,i," / \#C[+sibilant]_\{\ipa{d,n,r}\}",Proto-Omotic,North Omotic
29,u,uː, / \#S[+voice]_P[-voice],Proto-Omotic,North Omotic
30,tʃ,ts,N/A,North Omotic,Bench
31,l,d, / \#_VC,North Omotic,Bench
32,l,n, / \#_VN,North Omotic,Bench
33,z,d, / V\ipa{j}_,North Omotic,Dizin
34,ts',ʒ, / V_,North Omotic,Dizin
35,ts,tʃ, / _\ipa{i},North Omotic,Dizin
36,ʔ,ɔ,N/A,North Omotic,Dizin
37,p,f, / V_,North Omotic,Kafa
38,z,j,N/A,North Omotic,Kafa
39,zː,dʒː,N/A,North Omotic,Kafa
40,s,ʃ, / !V_,North Omotic,Kafa
41,ts',tʃ',N/A,North Omotic,Kafa
42,ɲ,n,N/A,North Omotic,Kafa
43,l,d, / \#_VC,North Omotic,Kafa
44,l,n, / \#_V\ipa{b},North Omotic,Kafa
45,p,f, / V_,North Omotic,Maale
46,z,d, / V_,North Omotic,Maale
47,z,ts, / V\ipa{j}_,North Omotic,Maale
48,ts,s, / V_,North Omotic,Maale
49,tsː,ts, / V_,North Omotic,Maale
50,ts',tʃ', / \#_,North Omotic,Maale
51,ts',s, / V_,North Omotic,Maale
52,ɲ,n,N/A,North Omotic,Maale
53,p',p, / V_,North Omotic,Shekkacho
54,p',b,N/A,North Omotic,Shekkacho
55,z,j," / \{\#,V\}_",North Omotic,Shekkacho
56,z,dʒː, / V\ipa{j}_,North Omotic,Shekkacho
57,zː,dʒː,N/A,North Omotic,Shekkacho
58,s,ʃ, / ! V_,North Omotic,Shekkacho
59,ts',tʃ',N/A,North Omotic,Shekkacho
60,ʒ,ʃ, / \#_,North Omotic,Shekkacho
61,ts,ʃ, / V_,North Omotic,Shekkacho
62,l,d, / \#_VC,North Omotic,Shekkacho
63,l,n, / \#_V\ipa{b},North Omotic,Shekkacho
64,p,f,N/A,North Omotic,Wolaytta
65,ɲ,n,N/A,North Omotic,Wolaytta
66,l,n, / \#_VN,North Omotic,Wolaytta
67,p,f,N/A,North Omotic,Yemsa
68,p',b,N/A,North Omotic,Yemsa
69,z,d, / V_,North Omotic,Yemsa
70,k',k, / \#,North Omotic,Yemsa
71,tʃ,ʔj,N/A,North Omotic,Yemsa
72,ʒ,s,N/A,North Omotic,Yemsa
73,ts,s, / \#_,North Omotic,Yemsa
74,tʃ',tʃ,N/A,North Omotic,Yemsa
75,ɲ,n,N/A,North Omotic,Yemsa
76,l,n, / \#_VC,North Omotic,Yemsa
77,d',t,N/A,North Omotic,Yemsa
78,p',ʔp,N/A,North Omotic,Zayse-Zergulla
79,z,ts, / V\ipa{j}_,North Omotic,Zayse-Zergulla
80,ts',s',N/A,North Omotic,Zayse-Zergulla
81,tsː,ts, / V_,North Omotic,Zayse-Zergulla
82,ɲ,n,N/A,North Omotic,Zayse-Zergulla
83,k',q,N/A,South Omotic,Aari
84,tʃ,ts,N/A,South Omotic,Aari
85,k',ɡ', / \#_,South Omotic,Dime
86,tʃ,ts,N/A,South Omotic,Dime
87,ts,ʃ, / _\ipa{i},South Omotic,Dime
88,ɡ,k," / \#\{\ipa{d,w}\}V_",Proto-Erythrean,Proto-Cushitic
89,z,ɡ,N/A,Proto-Agaw,Awngi
90,dz,z,N/A,Proto-Agaw,Awngi
91,ɡ,dz,N/A,Proto-Agaw,Awngi
92,k',γ,N/A,Proto-Agaw,Awngi
93,kʷ',q,N/A,Proto-Agaw,Awngi
94,ɢʷ,xʷ, / else,Proto-Agaw,Blin
95,ɢ,x, / else,Proto-Agaw,Blin
96,x,ɔ,N/A,Proto-Agaw,Kemantney
97,xʷ,w,N/A,Proto-Agaw,Kemantney
98,ɢʷ,γʷ,N/A,Proto-Agaw,Kemantney
99,ts,ʃ,N/A,Proto-Agaw,Kemantney
100,tʃ,dʒ,N/A,Proto-Agaw,Kemantney
101,t,j, / medially,Proto-Agaw,Kemantney
102,k',χʷ, / \#_,Proto-Agaw,Kemantney
103,kʷ',χʷ,N/A,Proto-Agaw,Kemantney
104,ts,s',N/A,Proto-Agaw,Xamtanga
105,tʃ,tʃ',N/A,Proto-Agaw,Xamtanga
106,dz,z,N/A,Proto-Agaw,Xamtanga
107,k',q, / else,Proto-Agaw,Xamtanga
108,eː,i,N/A,Proto-Erythrean,Proto-North Erythrean
109,oː,u,N/A,Proto-Erythrean,Proto-North Erythrean
110,e,a,N/A,Proto-Erythrean,Proto-North Erythrean
111,o,ə,N/A,Proto-Erythrean,Proto-North Erythrean
112,ħ,h,N/A,Proto-North Erythrean,Proto-Chadic
113,ʕ,ʔ,N/A,Proto-North Erythrean,Proto-Chadic
114,ts,s,N/A,Proto-North Erythrean,Proto-Chadic
115,dz,z,N/A,Proto-North Erythrean,Proto-Chadic
116,̑,s',N/A,Proto-North Erythrean,Proto-Chadic
117,ts,ʃ',N/A,Proto-North Erythrean,Proto-Chadic
118,h,ħ, / \#_V\ipa{s},Proto-North Erythrean,Proto-Boreafrasian
119,z,d, / {\it ``when another sibilant is in the word nearby''} and (word-finally?) when {\it ``noun-stem final''},Proto-North Erythrean,Proto-Boreafrasian
120,h,ħ, / _V\ipa{z},Proto-Boreafrasian,Egypto-Berber
121,l,ɔ," / \#\{\ipa{d,t'}\}_VC",Proto-Boreafrasian,Egypto-Berber
122,ɬ,s, / \#_VC,Proto-Boreafrasian,Egypto-Berber
123,f,p," / \#_V\{Z,C[-voice],\ipa{r}\}",Proto-Boreafrasian,Egypto-Berber
124,p',p,N/A,Proto-Boreafrasian,Egypto-Berber
125,p,b, / \#\ipa{dl}V_,Proto-Boreafrasian,Egypto-Berber
126,xw,γw,N/A,Proto-Boreafrasian,Egypto-Berber
127,γw,ħ,N/A,Proto-Boreafrasian,Egypto-Berber
