rule
kˀ -> ɡ / ⋊ __ o ⋉
pˀ -> b / ⋊ __ ɨ ⋉
p -> m / ⋊ __ i ⋉
i -> ĩ / ⋊ p __ ⋉
tˀ -> ɾ / ⋊ __ e ⋉
tˀ -> d / ⋊ __ o ⋉
j -> ɲ / ⋊ ã __ a ⋉
a -> ã / ⋊ ã j __ ⋉
ɨ -> i / ⋊ a t͡s __ ⋉
ɨ̃ -> ĩ / ⋊ __ kʷˀ e ⋉
kʷˀ -> ŋ / ⋊ ɨ̃ __ e ⋉
e -> ẽ / ⋊ ɨ̃ kʷˀ __ ⋉
ɨ -> ɨ̃ / ⋊ __ m ɨ ⋉
ɨ -> ɨ̃ / ⋊ ɨ m __ ⋉
ɨ -> ɨ̃ / ⋊ __ n e ⋉
e -> ẽ / ⋊ ɨ n __ ⋉
ɨ -> i / ⋊ __ tˀ i a ⋉
tˀ -> d / ⋊ ɨ __ i a ⋉
ˀj -> j / ⋊ ɨ __ e ⋉
a -> e / ⋊ j __ h i ⋉
i -> e / ⋊ j a h __ ⋉
j -> ɲ / ⋊ __ a m a ⋉
a -> ã / ⋊ j __ m a ⋉
a -> ã / ⋊ j a m __ ⋉
pˀ -> m / ⋊ ɲ ã __ o ⋉
o -> õ / ⋊ ɲ ã pˀ __ ⋉
j -> ɲ / ⋊ __ a p i ⋉
a -> ã / ⋊ j __ p i ⋉
p -> h / ⋊ j a __ i ⋉
i -> ĩ / ⋊ j a p __ ⋉
j -> ɲ / ⋊ __ ẽ kː u ⋉
ẽ -> ĩ / ⋊ j __ kː u ⋉
kː -> k / ⋊ j ẽ __ u ⋉
u -> ɨ̃ / ⋊ j ẽ kː __ ⋉
pˀ -> b / ⋊ j e __ a ⋉
∅ -> t / ⋊ j ɨ __ i ⋉
i -> a / ⋊ j ɨ __ ⋉
j -> ɲ / ⋊ __ ɨ̃ k a ⋉
ɨ̃ -> ĩ / ⋊ j __ k a ⋉
a -> ã / ⋊ j ɨ̃ k __ ⋉
ʔ -> ∅ / ⋊ j ɨ __ ɨ ⋉
kˀ -> ŋ / ⋊ __ ã pˀ o ⋉
pˀ -> m / ⋊ kˀ ã __ o ⋉
o -> õ / ⋊ kˀ ã pˀ __ ⋉
kˀ -> ɡ / ⋊ __ ɨ pˀ o ⋉
