rule_idx	rule	rule_regex	rule_len	hits	scope	accuracy10.0
691	p -> h / X __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL] X	p -> h /  __ (a|o|e|u|ɨ|i|ã|õ|ĩ|ũ|ɨ̃|ẽ)	190	21.0	23.0	0.6363636363636364
62	pˀ -> b / [+begin/end] __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL] X	pˀ -> b / (⋊) __ (a|o|e|u|ɨ|i)	210	12.0	15.0	0.48
34	pˀ -> b / X __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL] X	pˀ -> b /  __ (a|o|e|u|ɨ|i)	199	14.0	21.0	0.4516129032258064
797	ʔ -> ∅ / X [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL] __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, +voice, -spread.gl, -constr.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -back] X	ʔ -> ∅ / (a|o|e|u|ɨ|i|ã|õ|ĩ|ũ|ɨ̃|ẽ) __ (a|e|ɨ|i|ã|ĩ|ɨ̃|ẽ)	389	8.0	8.0	0.4444444444444444
732	kː -> k / X [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL] __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -low, +tense] X	kː -> k / (a|o|e|u|ɨ|i|ã|õ|ĩ|ũ|ɨ̃|ẽ) __ (o|e|u|ɨ|i)	388	8.0	8.0	0.4444444444444444
420	e -> ẽ / X [+C/V, -syllabic, -stress, -long, +consonantal, +sonorant, -continuant, -approximant, -tap, -trill, +nasal, +voice, -spread.gl, -constr.gl, -round, -labiodental, -lateral, -DORSAL] __ X	e -> ẽ / (n|m) __ 	196	8.0	8.0	0.4444444444444444
374	e -> ẽ / X [+C/V, -syllabic, -stress, -long, +consonantal, -continuant, -approximant, -tap, -trill, -spread.gl, -constr.gl, -round, -labiodental, -lateral, -DORSAL] __ X	e -> ẽ / (n|m|t|p|d|b|t͡ʃ|t͡s|tʲ) __ 	169	11.0	15.0	0.44
319	e -> ẽ / X [+C/V, -syllabic, -stress, -long, +consonantal, -continuant, -approximant, -tap, -trill, -spread.gl, -labiodental, -lateral] __ X	e -> ẽ / (ɲ|ŋ|n|m|ʔ|k|ɡ|t|p|d|b|t͡ʃ|t͡s|kʲ|kʷ|kʷˀ|kˀ|pˀ|tʲ|tˀ|ʔʷ|ˀb|ˀd|ˀk|ˀm|ˀn|ˀp|ˀt|ˀŋ|ˀɡ) __ 	140	15.0	25.0	0.4285714285714285
387	e -> ẽ / X [+C/V, -syllabic, -stress, -long, +consonantal, -approximant, -tap, -trill, -spread.gl, -constr.gl, -round, -labiodental, -lateral, -DORSAL] __ X	e -> ẽ / (n|m|ɸ|t|s|p|d|b|t͡ʃ|t͡s|tʲ) __ 	156	12.0	19.0	0.4137931034482758
966	s -> t͡ʃ / X __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL] X	s -> t͡ʃ /  __ (a|o|e|u|ɨ|i|ã|õ|ĩ|ũ|ɨ̃|ẽ)	192	9.0	15.0	0.36
