rule
kˀ -> ɡ / ⋊ __ o ⋉
pˀ -> b / ⋊ __ ɨ ⋉
p -> m / ⋊ __ i ⋉
i -> ĩ / ⋊ p __ ⋉
tˀ -> d / ⋊ __ e ⋉
tˀ -> d / ⋊ __ o ⋉
j -> ɲ / ⋊ ã __ a ⋉
a -> ã / ⋊ ã j __ ⋉
t͡s -> s / ⋊ a __ ɨ ⋉
ɨ -> i / ⋊ a t͡s __ ⋉
ɨ̃ -> ĩ / ⋊ __ kʷˀ e ⋉
kʷˀ -> ˀŋ / ⋊ ɨ̃ __ e ⋉
e -> ĩ / ⋊ ɨ̃ kʷˀ __ ⋉
ɨ -> ɨ̃ / ⋊ __ m ɨ ⋉
ɨ -> ɨ̃ / ⋊ ɨ m __ ⋉
ɨ -> ɨ̃ / ⋊ __ n e ⋉
e -> ĩ / ⋊ ɨ n __ ⋉
tˀ -> ˀd / ⋊ ɨ __ i a ⋉
i -> ∅ / ⋊ ɨ tˀ __ a ⋉
a -> e / ⋊ ɨ tˀ i __ ⋉
ɨ -> i / ⋊ __ ˀj e ⋉
ˀj -> ɡ / ⋊ ɨ __ e ⋉
e -> i / ⋊ ɨ ˀj __ ⋉
a -> e / ⋊ j __ i ⋉
i -> e / ⋊ j a __ ⋉
ɲ -> ∅ / ⋊ __ ã kˀ i ⋉
kˀ -> ˀŋ / ⋊ ɲ ã __ i ⋉
i -> ĩ / ⋊ ɲ ã kˀ __ ⋉
j -> ɲ / ⋊ __ a m a ⋉
a -> ã / ⋊ j __ m a ⋉
a -> ã / ⋊ j a m __ ⋉
pˀ -> ˀm / ⋊ ɲ ã __ o ⋉
o -> õ / ⋊ ɲ ã pˀ __ ⋉
j -> ɲ / ⋊ __ a p i ⋉
a -> ã / ⋊ j __ p i ⋉
i -> ĩ / ⋊ j a p __ ⋉
j -> ɲ / ⋊ __ ẽ kː u ⋉
kː -> k / ⋊ j ẽ __ u ⋉
u -> ɨ̃ / ⋊ j ẽ kː __ ⋉
pˀ -> b / ⋊ j e __ a ⋉
ɨ -> u / ⋊ j __ i ⋉
∅ -> d / ⋊ j ɨ __ i ⋉
i -> a / ⋊ j ɨ __ ⋉
j -> ɲ / ⋊ __ ɨ̃ k a ⋉
ɨ̃ -> ĩ / ⋊ j __ k a ⋉
k -> ŋ / ⋊ j ɨ̃ __ a ⋉
a -> ã / ⋊ j ɨ̃ k __ ⋉
kˀ -> ŋ / ⋊ __ ã pˀ o ⋉
pˀ -> m / ⋊ kˀ ã __ o ⋉
o -> ĩ / ⋊ kˀ ã pˀ __ ⋉
kˀ -> ɡ / ⋊ __ ɨ pˀ o ⋉
ɨ -> u / ⋊ kˀ __ pˀ o ⋉
pˀ -> ˀb / ⋊ kˀ ɨ __ o ⋉
o -> u / ⋊ kˀ ɨ pˀ __ ⋉
kˀ -> ɡ / ⋊ __ ɨ tˀ a ⋉
tˀ -> d / ⋊ kˀ ɨ __ a ⋉
kˀ -> ɡ / ⋊ __ o ɨ ⋉
o -> u / ⋊ kˀ __ ɨ ⋉
ɨ -> i / ⋊ kˀ o __ ⋉
kˀ -> ŋ / ⋊ __ o n e ⋉
o -> õ / ⋊ kˀ __ n e ⋉
e -> ẽ / ⋊ kˀ o n __ ⋉
kˀ -> ɡ / ⋊ __ o p e ⋉
