rule
kˀ -> ∅ / ⋊ __ o ⋉
tˀ -> ɾ / ⋊ __ e ⋉
tˀ -> d / ⋊ __ o ⋉
j -> ɲ / ⋊ ã __ a ⋉
a -> ã / ⋊ ã j __ ⋉
t͡s -> s / ⋊ a __ ɨ ⋉
ɨ -> i / ⋊ a t͡s __ ⋉
kʷˀ -> k / ⋊ ɨ̃ __ e ⋉
e -> ẽ / ⋊ ɨ̃ kʷˀ __ ⋉
ɨ -> ∅ / ⋊ __ m ɨ ⋉
ɨ -> ɨ̃ / ⋊ ɨ m __ ⋉
ɨ -> ɨ̃ / ⋊ __ n e ⋉
e -> ẽ / ⋊ ɨ n __ ⋉
ˀj -> s / ⋊ ɨ __ e ⋉
a -> e / ⋊ j __ h i ⋉
h -> ∅ / ⋊ j a __ i ⋉
i -> e / ⋊ j a h __ ⋉
j -> ɲ / ⋊ __ a m a ⋉
a -> ã / ⋊ j __ m a ⋉
a -> ã / ⋊ j a m __ ⋉
pˀ -> m / ⋊ ɲ ã __ o ⋉
o -> õ / ⋊ ɲ ã pˀ __ ⋉
j -> ɲ / ⋊ __ a p i ⋉
a -> ã / ⋊ j __ p i ⋉
i -> ĩ / ⋊ j a p __ ⋉
j -> ɲ / ⋊ __ ẽ kː u ⋉
ẽ -> ĩ / ⋊ j __ kː u ⋉
kː -> k / ⋊ j ẽ __ u ⋉
u -> ɨ̃ / ⋊ j ẽ kː __ ⋉
pˀ -> p / ⋊ j e __ a ⋉
ɨ -> ∅ / ⋊ j __ i ⋉
∅ -> t / ⋊ j ɨ i __ ⋉
∅ -> a / ⋊ j ɨ i __ ⋉
j -> ɲ / ⋊ __ ɨ̃ k a ⋉
ɨ̃ -> ĩ / ⋊ j __ k a ⋉
a -> ã / ⋊ j ɨ̃ k __ ⋉
ʔ -> ∅ / ⋊ j ɨ __ ɨ ⋉
kˀ -> ∅ / ⋊ __ ã pˀ o ⋉
pˀ -> m / ⋊ kˀ ã __ o ⋉
o -> õ / ⋊ kˀ ã pˀ __ ⋉
kˀ -> ɾ / ⋊ __ ɨ pˀ o ⋉
pˀ -> p / ⋊ kˀ ɨ __ o ⋉
kˀ -> ɡ / ⋊ __ ɨ tˀ a ⋉
tˀ -> t / ⋊ kˀ ɨ __ a ⋉
kˀ -> ∅ / ⋊ __ o ɨ ⋉
o -> u / ⋊ kˀ __ ɨ ⋉
ɨ -> u / ⋊ kˀ o __ ⋉
kˀ -> ∅ / ⋊ __ o n e ⋉
o -> õ / ⋊ kˀ __ n e ⋉
e -> ẽ / ⋊ kˀ o n __ ⋉
kˀ -> ∅ / ⋊ __ o p e ⋉
kˀ -> ∅ / ⋊ __ õ p i ⋉
õ -> o / ⋊ kˀ __ p i ⋉
kˀ -> ∅ / ⋊ __ õ ʔ ã ⋉
∅ -> n / ⋊ k ã __ ⋉
∅ -> ĩ / ⋊ k ã __ ⋉
ɨ -> i / ⋊ k __ i ⋉
o -> õ / ⋊ k __ n e ⋉
e -> ẽ / ⋊ k o n __ ⋉
h -> ∅ / ⋊ m a __ a ⋉
a -> ã / ⋊ m __ ʔ a ⋉
a -> ã / ⋊ m a ʔ __ ⋉
e -> ẽ / ⋊ m __ k a ⋉
a -> ã / ⋊ m e k __ ⋉
i -> ĩ / ⋊ m __ m i ⋉
i -> ĩ / ⋊ m i m __ ⋉
ɨ -> ɨ̃ / ⋊ m __ t͡s a ⋉
t͡s -> s / ⋊ m ɨ __ a ⋉
a -> ã / ⋊ m ɨ t͡s __ ⋉
ɨ -> ɨ̃ / ⋊ m __ tˀ o ⋉
tˀ -> n / ⋊ m ɨ __ o ⋉
o -> õ / ⋊ m ɨ tˀ __ ⋉
ɨ -> ɨ̃ / ⋊ m __ t e ⋉
e -> ẽ / ⋊ m ɨ t __ ⋉
ʔ -> ∅ / ⋊ n e __ e ⋉
i -> ĩ / ⋊ n __ tː i ⋉
tː -> t / ⋊ n i __ i ⋉
i -> ĩ / ⋊ n i tː __ ⋉
ɨ -> ɨ̃ / ⋊ n __ kˀ ⋉
kˀ -> k / ⋊ n ɨ __ ⋉
∅ -> ã / ⋊ n ɨ kˀ __ ⋉
o -> ũ / ⋊ n __ ⋉
∅ -> n / ⋊ n o __ ⋉
∅ -> ĩ / ⋊ n o __ ⋉
j -> s / ⋊ o __ o ⋉
kː -> k / ⋊ o __ o ⋉
tː -> t / ⋊ o __ e ⋉
pˀ -> b / ⋊ __ e kː o ⋉
kː -> k / ⋊ pˀ e __ o ⋉
pˀ -> b / ⋊ __ ɨ p ɨ ⋉
pˀ -> b / ⋊ __ u t u ⋉
pˀ -> m / ⋊ __ ã t͡s ã ⋉
t͡s -> s / ⋊ pˀ ã __ ã ⋉
pˀ -> b / ⋊ __ a j a ⋉
j -> s / ⋊ pˀ a __ a ⋉
pˀ -> b / ⋊ __ a p i ⋉
pˀ -> m / ⋊ __ e n e ⋉
e -> ẽ / ⋊ pˀ __ n e ⋉
e -> ẽ / ⋊ pˀ e n __ ⋉
pˀ -> b / ⋊ __ i a ⋉
pˀ -> b / ⋊ __ ɨ k ɨ ⋉
pˀ -> b / ⋊ __ o ⋉
∅ -> t / ⋊ pˀ o __ ⋉
∅ -> i / ⋊ pˀ o __ ⋉
pˀ -> m / ⋊ __ õ s a ⋉
õ -> ũ / ⋊ pˀ __ s a ⋉
a -> ã / ⋊ pˀ õ s __ ⋉
pˀ -> b / ⋊ __ o tˀ i k a ⋉
tˀ -> t / ⋊ pˀ o __ i k a ⋉
i -> e / ⋊ pˀ o tˀ __ k a ⋉
h -> ∅ / ⋊ p a __ i ⋉
u -> õ / ⋊ p ã m __ ⋉
ˀj -> s / ⋊ p a __ a ⋉
k -> ∅ / ⋊ p e __ a ⋉
a -> e / ⋊ p e k __ ⋉
i -> ∅ / ⋊ p __ a t a ⋉
a -> e / ⋊ p i __ t a ⋉
∅ -> t / ⋊ p u __ ⋉
∅ -> i / ⋊ p u __ ⋉
s -> h / ⋊ __ e m e ⋉
e -> ẽ / ⋊ s __ m e ⋉
e -> ẽ / ⋊ s e m __ ⋉
s -> h / ⋊ __ ĩ kˀ e ⋉
kˀ -> k / ⋊ s ĩ __ e ⋉
e -> ẽ / ⋊ s ĩ kˀ __ ⋉
s -> ∅ / ⋊ s i __ i ⋉
ɨ -> i / ⋊ s __ ˀj o ⋉
ˀj -> s / ⋊ s ɨ __ o ⋉
s -> h / ⋊ __ õ k ɨ ⋉
ɨ -> ɨ̃ / ⋊ s õ k __ ⋉
s -> h / ⋊ __ o t ⋉
∅ -> ɨ / ⋊ s o t __ ⋉
s -> h / ⋊ __ õ ʔ a ⋉
ʔ -> ∅ / ⋊ s õ __ a ⋉
tˀ -> n / ⋊ __ ɨ̃ kˀ o ⋉
kˀ -> ˀk / ⋊ tˀ ɨ̃ __ o ⋉
o -> õ / ⋊ tˀ ɨ̃ kˀ __ ⋉
tˀ -> n / ⋊ __ ɨ kː ɨ ⋉
ɨ -> ɨ̃ / ⋊ tˀ __ kː ɨ ⋉
kː -> k / ⋊ tˀ ɨ __ ɨ ⋉
ɨ -> ɨ̃ / ⋊ tˀ ɨ kː __ ⋉
tˀ -> n / ⋊ __ ɨ̃ p o ⋉
p -> m / ⋊ tˀ ɨ̃ __ o ⋉
o -> õ / ⋊ tˀ ɨ̃ p __ ⋉
tˀ -> ɾ / ⋊ __ o j e ⋉
j -> s / ⋊ tˀ o __ e ⋉
tˀ -> ɾ / ⋊ __ õ m i ⋉
i -> ĩ / ⋊ tˀ õ m __ ⋉
∅ -> õ / ⋊ tˀ õ m i __ ⋉
t͡ʃ -> h / ⋊ __ ɨ a ⋉
ɨ -> e / ⋊ t͡ʃ __ a ⋉
a -> e / ⋊ t͡ʃ ɨ __ ⋉
t͡ʃ -> h / ⋊ __ õ pˀ ɨ ⋉
pˀ -> m / ⋊ t͡ʃ õ __ ɨ ⋉
ɨ -> ɨ̃ / ⋊ t͡ʃ õ pˀ __ ⋉
j -> ∅ / ⋊ t a __ a ⋉
t -> ∅ / ⋊ __ a kː e ⋉
kː -> k / ⋊ t a __ e ⋉
t͡s -> d / ⋊ __ a s e ⋉
e -> a / ⋊ t͡s a s __ ⋉
t͡s -> ɲ / ⋊ __ e m e ⋉
e -> ẽ / ⋊ t͡s __ m e ⋉
e -> ẽ / ⋊ t͡s e m __ ⋉
t͡s -> ɲ / ⋊ __ ĩ ⋉
∅ -> ĩ / ⋊ t͡s ĩ __ ⋉
t͡s -> ɾ / ⋊ __ i a ⋉
t͡s -> ɾ / ⋊ __ i a ⋉
t͡s -> ɾ / ⋊ __ i a ⋉
t͡s -> ɾ / ⋊ __ i e ⋉
e -> i / ⋊ t͡s i __ ⋉
t͡s -> ɾ / ⋊ __ ɨ p o ⋉
t͡s -> ɾ / ⋊ __ ɨ s e o ⋉
ɨ -> i / ⋊ t͡s __ s e o ⋉
o -> ∅ / ⋊ t͡s ɨ s e __ ⋉
t͡s -> j / ⋊ __ o a ⋉
t͡s -> ɲ / ⋊ __ ã s a ⋉
a -> ã / ⋊ t͡s ã s __ ⋉
t͡s -> n / ⋊ __ i m a ⋉
i -> ĩ / ⋊ t͡s __ m a ⋉
a -> ã / ⋊ t͡s i m __ ⋉
t͡s -> h / ⋊ __ ɨ̃ pˀ e ⋉
pˀ -> m / ⋊ t͡s ɨ̃ __ e ⋉
e -> ẽ / ⋊ t͡s ɨ̃ pˀ __ ⋉
t͡s -> j / ⋊ __ ũ kː ɨ ⋉
ũ -> u / ⋊ t͡s __ kː ɨ ⋉
kː -> k / ⋊ t͡s ũ __ ɨ ⋉
∅ -> t / ⋊ __ t u ⋉
∅ -> u / ⋊ __ t u ⋉
u -> ũ / ⋊ __ p e ⋉
e -> ẽ / ⋊ u p __ ⋉
tː -> t / ⋊ u __ i ⋉
j -> s / ⋊ w a __ o ⋉
w -> w̃ / ⋊ __ ã m i ⋉
i -> ẽ / ⋊ w ã m __ ⋉
tː -> t / ⋊ w ã __ i ⋉
kː -> k / ⋊ w e __ o ⋉
w -> w̃ / ⋊ __ ĩ n o ⋉
o -> õ / ⋊ w ĩ n __ ⋉
ɨ -> i / ⋊ w __ ʔ e ⋉
ʔ -> ∅ / ⋊ w ɨ __ e ⋉
e -> i / ⋊ w ɨ ʔ __ ⋉
w -> b / ⋊ __ u ɨ ⋉
ɨ -> u / ⋊ w u __ ⋉
kˀ -> ∅ / ⋊ __ ɨ̃ t a ⋉
a -> ã / ⋊ kˀ ɨ̃ t __ ⋉
