rule_idx	rule	rule_regex	rule_len	hits	scope	accuracy10.0
0	∅ -> h / X __ [-stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, +tense] X	∅ -> h /  __ (i|j)	234	1.0	28.0	0.02631578947368421
1	∅ -> h / X __ [-stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL] X	∅ -> h /  __ (a|o|e|u|ɨ|i|w|j|j̃|w̃|ã|õ|ĩ|ũ|ɨ̃|ẽ)	173	7.0	150.0	0.04375
2	∅ -> h / [+begin/end] __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -front] X	∅ -> h / (⋊) __ (a|o|u|ɨ|ã|õ|ũ|ɨ̃)	209	6.0	10.0	0.3
3	∅ -> h / X __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -low, +tense] X	∅ -> h /  __ (o|e|u|ɨ|i)	212	4.0	95.0	0.0380952380952381
4	∅ -> h / [+begin/end] __ [-stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +tense] X	∅ -> h / (⋊) __ (u|ɨ|i|w|j)	213	4.0	14.0	0.16666666666666666
5	∅ -> h / X [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -low, -front, +tense] __ X	∅ -> h / (o|u|ɨ) __ 	220	1.0	54.0	0.015625
6	∅ -> h / [+begin/end] __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -front] X	∅ -> h / (⋊) __ (a|o)	224	2.0	3.0	0.15384615384615385
7	∅ -> h / X __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -back] X	∅ -> h /  __ (a|e|ɨ|i)	222	1.0	94.0	0.009615384615384616
8	∅ -> h / [+begin/end] __ [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, +LABIAL, +round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, -front, +back, +tense] [+C/V, -syllabic, -stress, -long, -sonorant, -approximant, -tap, -trill, -nasal, -voice, -constr.gl, -round, -labiodental, -CORONAL, -lateral, -DORSAL] X	∅ -> h / (⋊) __ (u) (ɸ|p|h|hʲ|pʰ)	414	2.0	2.0	0.16666666666666666
9	∅ -> h / [+begin/end] __ [-stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, +voice, -spread.gl, -constr.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -back] X	∅ -> h / (⋊) __ (a|e|ɨ|i|j|j̃|ã|ĩ|ɨ̃|ẽ)	208	3.0	10.0	0.15
10	∅ -> h / X __ [-stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -low, +tense] X	∅ -> h /  __ (o|e|u|ɨ|i|w|j)	195	5.0	107.0	0.042735042735042736
11	∅ -> h / [+begin/end] __ [+C/V, -syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, +tense] [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, +low, -front, -back] [-C/V, +syllabic, -stress, -long, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread.gl, -constr.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, +tense] [-begin/end]	∅ -> h / (⋊) __ (j) (a) (i) (⋉)	737	1.0	1.0	0.09090909090909091
