rule
tˀ -> ɾ / ⋊ __ e ⋉
j -> ɲ / ⋊ ã __ a ⋉
a -> ã / ⋊ ã j __ ⋉
ɨ̃ -> õ / ⋊ __ kʷˀ e ⋉
kʷˀ -> m / ⋊ ɨ̃ __ e ⋉
e -> ẽ / ⋊ ɨ̃ kʷˀ __ ⋉
ɨ -> ɨ̃ / ⋊ __ m ɨ ⋉
ɨ -> ɨ̃ / ⋊ ɨ m __ ⋉
ɨ -> ĩ / ⋊ __ n e ⋉
n -> ɾ / ⋊ ɨ __ e ⋉
e -> ẽ / ⋊ ɨ n __ ⋉
∅ -> a / ⋊ j a i __ ⋉
j -> ɲ / ⋊ __ a m a ⋉
a -> ã / ⋊ j __ m a ⋉
a -> ã / ⋊ j a m __ ⋉
pˀ -> ˀm / ⋊ ɲ ã __ o ⋉
o -> ũ / ⋊ ɲ ã pˀ __ ⋉
j -> ɲ / ⋊ __ a p i ⋉
a -> ã / ⋊ j __ p i ⋉
p -> ˀp / ⋊ j a __ i ⋉
i -> ĩ / ⋊ j a p __ ⋉
ɨ -> u / ⋊ j __ i ⋉
∅ -> ˀt / ⋊ j ɨ __ i ⋉
i -> a / ⋊ j ɨ __ ⋉
j -> ɲ / ⋊ __ ɨ̃ k a ⋉
ɨ̃ -> ĩ / ⋊ j __ k a ⋉
a -> ã / ⋊ j ɨ̃ k __ ⋉
ɨ -> i / ⋊ j __ ʔ ɨ ⋉
ɨ -> i / ⋊ j ɨ ʔ __ ⋉
kˀ -> ∅ / ⋊ __ ã pˀ o ⋉
pˀ -> m / ⋊ kˀ ã __ o ⋉
o -> ũ / ⋊ kˀ ã pˀ __ ⋉
kˀ -> ∅ / ⋊ __ ɨ pˀ o ⋉
ɨ -> ũ / ⋊ kˀ __ pˀ o ⋉
pˀ -> ˀp / ⋊ kˀ ɨ __ o ⋉
o -> ũ / ⋊ kˀ ɨ pˀ __ ⋉
kˀ -> ∅ / ⋊ __ ɨ tˀ a ⋉
ɨ -> i / ⋊ kˀ __ tˀ a ⋉
