rule
kˀ -> k / ⋊ __ o ⋉
tˀ -> ɾ / ⋊ __ e ⋉
tˀ -> d / ⋊ __ o ⋉
j -> ɲ / ⋊ ã __ a ⋉
a -> ã / ⋊ ã j __ ⋉
a -> ∅ / ⋊ __ t͡s ɨ ⋉
t͡s -> s / ⋊ a __ ɨ ⋉
ɨ -> i / ⋊ a t͡s __ ⋉
ɨ̃ -> ∅ / ⋊ __ kʷˀ e ⋉
kʷˀ -> k / ⋊ ɨ̃ __ e ⋉
e -> ẽ / ⋊ ɨ̃ kʷˀ __ ⋉
ɨ -> ɨ̃ / ⋊ __ m ɨ ⋉
ɨ -> ɨ̃ / ⋊ ɨ m __ ⋉
ɨ -> ɨ̃ / ⋊ __ n e ⋉
e -> ẽ / ⋊ ɨ n __ ⋉
ɨ -> ∅ / ⋊ __ tˀ i a ⋉
tˀ -> t / ⋊ ɨ __ i a ⋉
ɨ -> ∅ / ⋊ __ ˀj e ⋉
ˀj -> s / ⋊ ɨ __ e ⋉
i -> a / ⋊ j a h __ ⋉
kˀ -> ˀk / ⋊ ɲ ã __ i ⋉
i -> ĩ / ⋊ ɲ ã kˀ __ ⋉
j -> ɲ / ⋊ __ a m a ⋉
a -> ã / ⋊ j __ m a ⋉
a -> ã / ⋊ j a m __ ⋉
pˀ -> ˀm / ⋊ ɲ ã __ o ⋉
o -> ũ / ⋊ ɲ ã pˀ __ ⋉
j -> ɲ / ⋊ __ a p i ⋉
a -> ã / ⋊ j __ p i ⋉
i -> ĩ / ⋊ j a p __ ⋉
j -> ɲ / ⋊ __ ẽ kː u ⋉
ẽ -> ɨ̃ / ⋊ j __ kː u ⋉
kː -> t͡ʃ / ⋊ j ẽ __ u ⋉
u -> ɨ̃ / ⋊ j ẽ kː __ ⋉
e -> a / ⋊ j __ pˀ a ⋉
pˀ -> ˀp / ⋊ j e __ a ⋉
ɨ -> u / ⋊ j __ i ⋉
∅ -> t / ⋊ j ɨ __ i ⋉
i -> a / ⋊ j ɨ __ ⋉
j -> ɲ / ⋊ __ ɨ̃ k a ⋉
k -> t͡ʃ / ⋊ j ɨ̃ __ a ⋉
a -> ɨ̃ / ⋊ j ɨ̃ k __ ⋉
kˀ -> k / ⋊ __ ã pˀ o ⋉
pˀ -> ˀm / ⋊ kˀ ã __ o ⋉
o -> õ / ⋊ kˀ ã pˀ __ ⋉
kˀ -> d / ⋊ __ ɨ pˀ o ⋉
ɨ -> a / ⋊ kˀ __ pˀ o ⋉
pˀ -> ˀp / ⋊ kˀ ɨ __ o ⋉
kˀ -> ∅ / ⋊ __ ɨ tˀ a ⋉
ɨ -> ∅ / ⋊ kˀ __ tˀ a ⋉
tˀ -> t / ⋊ kˀ ɨ __ a ⋉
a -> ã / ⋊ kˀ ɨ tˀ __ ⋉
kˀ -> k / ⋊ __ o ɨ ⋉
o -> ∅ / ⋊ kˀ __ ɨ ⋉
ɨ -> u / ⋊ kˀ o __ ⋉
kˀ -> kʰ / ⋊ __ o n e ⋉
o -> ũ / ⋊ kˀ __ n e ⋉
e -> ũ / ⋊ kˀ o n __ ⋉
kˀ -> k / ⋊ __ o p e ⋉
kˀ -> ∅ / ⋊ __ õ p i ⋉
õ -> ∅ / ⋊ kˀ __ p i ⋉
∅ -> i / ⋊ kˀ õ p __ i ⋉
∅ -> d / ⋊ kˀ õ p __ i ⋉
∅ -> a / ⋊ kˀ õ p i __ ⋉
∅ -> k / ⋊ kˀ õ p i __ ⋉
∅ -> a / ⋊ kˀ õ p i __ ⋉
kˀ -> kʰ / ⋊ __ õ ʔ ã ⋉
kˀ -> k / ⋊ __ o ʔ o ⋉
k -> kʰ / ⋊ __ ã ⋉
∅ -> n / ⋊ k ã __ ⋉
∅ -> ĩ / ⋊ k ã __ ⋉
j -> s / ⋊ k a __ a ⋉
k -> kʰ / ⋊ __ ɨ i ⋉
i -> ɨ / ⋊ k ɨ __ ⋉
k -> kʰ / ⋊ __ o n e ⋉
o -> õ / ⋊ k __ n e ⋉
e -> ẽ / ⋊ k o n __ ⋉
kʷ -> k / ⋊ __ ɨ tˀ e ⋉
