Number	Proto	Context	Reflexes	Source	Target
1	h		∅,h	h	∅
3	j	V_V	j/tʃ,j,s,tʃ,h	j	ʒ
3	j	V_V	j/tʃ,j,s,tʃ,h	ʒ	t͡ʃ
3	j	V_V	j/tʃ,j,s,tʃ,h	j	z
3	j	V_V	j/tʃ,j,s,tʃ,h	z	s
3	j	V_V	j/tʃ,j,s,tʃ,h	j	ʒ
3	j	V_V	j/tʃ,j,s,tʃ,h	ʒ	t͡ʃ
3	j	V_V	j/tʃ,j,s,tʃ,h	j	ɦ
3	j	V_V	j/tʃ,j,s,tʃ,h	ɦ	h
4	k	#_	kʰ,k	k	kʰ
5	k	V_V	kʰ,ɡ,k	k	kʰ
5	k	V_V	kʰ,ɡ,k	k	ɡ
6	k	i,e_	kʰ,k,tʃ	k	kʰ
6	k	i,e_	kʰ,k,tʃ	k	c
6	k	i,e_	kʰ,k,tʃ	c	t͡ɕ
6	k	i,e_	kʰ,k,tʃ	t͡ɕ	t͡ʃ
7	k	~V_V	kʰ,∅,k,ɡ	k	kʰ
7	k	~V_V	kʰ,∅,k,ɡ	k	∅
7	k	~V_V	kʰ,∅,k,ɡ	k	ɡ
8	kː		kʰ,k	kː	kʰ
8	kː		kʰ,k	kː	k
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	kˀ	ˀk
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	ˀk	k
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	kˀ	ˀk
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	ˀk	k
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	kˀ	ˀk
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	ˀk	ɡ
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	kˀ	ˀk
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	ˀk	∅
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	kˀ	ˀk
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	ˀk	ɡ
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	kˀ	ˀk
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	ˀk	∅
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	kˀ	ˀk
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	ˀk	k
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	k	kʰ
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	kˀ	ˀk
9	kˀ	#_	kˀ,k,k/ɡ,∅,ɡ/∅,kˀ ,kʰ,ɡ	ˀk	ɡ
10	kˀ	V_V	∅,k,k/ɡ,kʰ,ɡ	kˀ	ˀk
10	kˀ	V_V	∅,k,k/ɡ,kʰ,ɡ	ˀk	∅
10	kˀ	V_V	∅,k,k/ɡ,kʰ,ɡ	kˀ	ˀk
10	kˀ	V_V	∅,k,k/ɡ,kʰ,ɡ	ˀk	k
10	kˀ	V_V	∅,k,k/ɡ,kʰ,ɡ	kˀ	ˀk
10	kˀ	V_V	∅,k,k/ɡ,kʰ,ɡ	ˀk	k
10	kˀ	V_V	∅,k,k/ɡ,kʰ,ɡ	kˀ	ˀk
10	kˀ	V_V	∅,k,k/ɡ,kʰ,ɡ	ˀk	ɡ
10	kˀ	V_V	∅,k,k/ɡ,kʰ,ɡ	kˀ	ˀk
