Number	Proto	Context	Reflexes	Source	Target
1	h		∅,h	h	∅
3	j	V_V	tʃ,j,s,j/tʃ,h	j	d͡ʒ
3	j	V_V	tʃ,j,s,j/tʃ,h	d͡ʒ	t͡ʃ
3	j	V_V	tʃ,j,s,j/tʃ,h	j	ʒ
3	j	V_V	tʃ,j,s,j/tʃ,h	ʒ	ʃ
3	j	V_V	tʃ,j,s,j/tʃ,h	ʃ	s
3	j	V_V	tʃ,j,s,j/tʃ,h	j	d͡ʒ
3	j	V_V	tʃ,j,s,j/tʃ,h	d͡ʒ	t͡ʃ
3	j	V_V	tʃ,j,s,j/tʃ,h	j	ɦ
3	j	V_V	tʃ,j,s,j/tʃ,h	ɦ	h
4	k	#_	k,kʰ	k	kʰ
5	k	V_V	k,kʰ,ɡ	k	kʰ
5	k	V_V	k,kʰ,ɡ	k	ɡ
6	k	i,e_	k,tʃ,kʰ	k	c
6	k	i,e_	k,tʃ,kʰ	c	tʲ
6	k	i,e_	k,tʃ,kʰ	tʲ	t͡ʃ
6	k	i,e_	k,tʃ,kʰ	k	kʰ
7	k	~V_V	k,∅,kʰ,ɡ	k	∅
7	k	~V_V	k,∅,kʰ,ɡ	k	kʰ
7	k	~V_V	k,∅,kʰ,ɡ	k	ɡ
8	kː		k,kʰ	kː	k
8	kː		k,kʰ	kː	k
8	kː		k,kʰ	k	kʰ
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	kˀ	ˀk
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	ˀk	k
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	kˀ	ˀk
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	ˀk	∅
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	kˀ	ˀk
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	ˀk	k
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	k	kʰ
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	kˀ	ˀk
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	ˀk	k
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	kˀ	ˀk
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	ˀk	ɡ
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	kˀ	ˀk
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	ˀk	ɡ
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	kˀ	ˀk
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	ˀk	ɡ
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	kˀ	ˀk
9	kˀ	#_	k,∅,kʰ,k/ɡ,kˀ,ɡ,kˀ ,ɡ/∅	ˀk	∅
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	kˀ	ˀk
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	ˀk	k
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	kˀ	ˀk
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	ˀk	∅
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	kˀ	ˀk
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	ˀk	k
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	k	kʰ
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	kˀ	ˀk
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	ˀk	k
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	kˀ	ˀk
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	ˀk	ɡ
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	kˀ	ˀk
10	kˀ	V_V	k,∅,kʰ,k/ɡ,ɡ	ˀk	ɡ
11	m		m,b	m	b
12	n		n,d	n	d
13	p	#_	pʰ,p,p/ɸ,h	p	pʰ
13	p	#_	pʰ,p,p/ɸ,h	p	ɸ
13	p	#_	pʰ,p,p/ɸ,h	p	f
