Number	Proto	Context	Reflexes	Source	Target
1	h		∅,h	h	∅
3	j	V_V	j,h,s,tʃ,j/tʃ	j	j̥
3	j	V_V	j,h,s,tʃ,j/tʃ	j̥	j̥ˀ
3	j	V_V	j,h,s,tʃ,j/tʃ	j̥ˀ	h
3	j	V_V	j,h,s,tʃ,j/tʃ	j	ɦ
3	j	V_V	j,h,s,tʃ,j/tʃ	ɦ	h
3	j	V_V	j,h,s,tʃ,j/tʃ	j	ʝ
3	j	V_V	j,h,s,tʃ,j/tʃ	ʝ	ʐ
3	j	V_V	j,h,s,tʃ,j/tʃ	ʐ	ʂ
3	j	V_V	j,h,s,tʃ,j/tʃ	ʂ	s
3	j	V_V	j,h,s,tʃ,j/tʃ	j	ɦ
3	j	V_V	j,h,s,tʃ,j/tʃ	ɦ	ʐ
3	j	V_V	j,h,s,tʃ,j/tʃ	ʐ	z
3	j	V_V	j,h,s,tʃ,j/tʃ	z	s
3	j	V_V	j,h,s,tʃ,j/tʃ	j	ɻ
3	j	V_V	j,h,s,tʃ,j/tʃ	ɻ	ʐ
3	j	V_V	j,h,s,tʃ,j/tʃ	ʐ	z
3	j	V_V	j,h,s,tʃ,j/tʃ	z	s
3	j	V_V	j,h,s,tʃ,j/tʃ	j	j̥
3	j	V_V	j,h,s,tʃ,j/tʃ	j̥	j̥ˀ
3	j	V_V	j,h,s,tʃ,j/tʃ	j̥ˀ	ʂ
3	j	V_V	j,h,s,tʃ,j/tʃ	ʂ	s
3	j	V_V	j,h,s,tʃ,j/tʃ	j	j̥ˀ
3	j	V_V	j,h,s,tʃ,j/tʃ	j̥ˀ	j̥
3	j	V_V	j,h,s,tʃ,j/tʃ	j̥	ç
3	j	V_V	j,h,s,tʃ,j/tʃ	ç	c
3	j	V_V	j,h,s,tʃ,j/tʃ	c	t͡ɕ
3	j	V_V	j,h,s,tʃ,j/tʃ	t͡ɕ	t͡ʃ
3	j	V_V	j,h,s,tʃ,j/tʃ	j	j̥ˀ
3	j	V_V	j,h,s,tʃ,j/tʃ	j̥ˀ	j̥
3	j	V_V	j,h,s,tʃ,j/tʃ	j̥	ɕ
3	j	V_V	j,h,s,tʃ,j/tʃ	ɕ	t͡ɕ
3	j	V_V	j,h,s,tʃ,j/tʃ	t͡ɕ	t͡ʃ
3	j	V_V	j,h,s,tʃ,j/tʃ	j	ʝ
3	j	V_V	j,h,s,tʃ,j/tʃ	ʝ	ʑ
3	j	V_V	j,h,s,tʃ,j/tʃ	ʑ	d͡ʑ
3	j	V_V	j,h,s,tʃ,j/tʃ	d͡ʑ	t͡ɕ
3	j	V_V	j,h,s,tʃ,j/tʃ	t͡ɕ	t͡ʃ
3	j	V_V	j,h,s,tʃ,j/tʃ	j	ʝ
3	j	V_V	j,h,s,tʃ,j/tʃ	ʝ	ɟ
3	j	V_V	j,h,s,tʃ,j/tʃ	ɟ	c
3	j	V_V	j,h,s,tʃ,j/tʃ	c	t͡ɕ
3	j	V_V	j,h,s,tʃ,j/tʃ	t͡ɕ	t͡ʃ
3	j	V_V	j,h,s,tʃ,j/tʃ	j	ʝ
