Number	Proto-sound	Context	Kar	Tuy	Wan	Tuk	Des	Kue	Mai	Tan	Kor	Kub	Bar	Yup	Sir	Pir	Sek
1.0	*t͡s	(⋊) __ (a|e|ɨ|i)	t͡s	t͡s	d	t͡s	t͡s	ɾ	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s
2.0	*ɨ	(m) __	ɨ	ɨ̃	ɨ̃	ɨ	ɨ̃	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ
3.0	*kˀ	(⋊) __ (a|o|ã|õ)	∅	kˀ	k	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ
4.0	*tː	(a|o|e|u|ɨ|i|ã|õ|ĩ|ũ|ɨ̃|ẽ) __ (e|i)	t	tː	t	tː	tː	tː	tː	t	tː	tː	t	tː	tː	tː	tː
5.0	*tˀ	(⋊) __ (o|u|ɨ|õ|ũ|ɨ̃)	tˀ	tˀ	n	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	n	tˀ	tˀ	tˀ	tˀ	d
6.0	*ɨ	(n|m|ʔ|t|p|d|b|t͡ʃ|t͡s|pˀ|tʲ|tˀ|ˀb|ˀd|ˀm|ˀn|ˀp|ˀt) __ (ʔ|k|t|t͡ʃ|t͡s|kː|tː|kʲ|kˀ|tʲ|tˀ|ˀk|ˀt)	ɨ̃	ɨ	ɨ̃	ɨ̃	ɨ	ɨ	ɨ	ĩ	ɨ	ɨ	ɨ̃	ɨ	ɨ	ɨ	ɨ
7.0	*t͡s	(⋊) __ (ã|õ|ĩ|ũ|ɨ̃|ẽ)	t͡s	j	j	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s
8.0	*t͡ʃ	(⋊) __ (o|u|ɨ|õ|ũ|ɨ̃)	h	t͡ʃ	s	s	t͡ʃ	t͡ʃ	t͡ʃ	t͡ʃ	s	h	t͡ʃ	t͡ʃ	t͡ʃ	t͡ʃ	s
9.0	*j	(⋊) (w) (a) __ (a|o)	j	j	ˀs	ˀs	j	j	j	j	j	j	j	j	j	j	j
10.0	*ˀj	(ɨ) __ (o|e)	ˀj	ˀj	s	ˀj	ˀj	ˀj	ˀj	ˀj	j	j	ˀj	ˀj	j	ˀj	ˀj
11.0	*pˀ	(e|ɨ|i) __ (a|o)	p	pˀ	ˀp	ˀp	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ
12.0	*tˀ	(⋊) __ (o|u|ɨ)	tˀ	tˀ	d	d	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ
13.0	*∅	(⋊) (t͡s) (ĩ) __ (⋉)	ĩ	ĩ	ĩ	ĩ	ĩ	∅	a	∅	∅	∅	ĩ	∅	∅	∅	∅
14.0	*ẽ	(⋊) (j) __ (kː) (u) (⋉)	ĩ	ẽ	ɨ̃	ẽ	ẽ	ẽ	ẽ	ẽ	ẽ	ẽ	ĩ	ẽ	ẽ	ẽ	ẽ
15.0	*ɨ	(⋊) (a) (t͡s) __ (⋉)	ɨ	ɨ	i	ɨ	ɨ	ɨ	u	ɨ	ɨ	ɨ	ɨ	ɨ	u	ɨ	ɨ
16.0	*ɨ̃	(⋊) __ (kʷˀ) (e) (⋉)	ɨ̃	ẽ	∅	ɨ̃	ɨ̃	o	ũ	õ	ɨ̃	ũ	ɨ̃	ɨ̃	ũ	ɨ̃	õ
17.0	*kʷˀ	(⋊) (ɨ̃) __ (e) (⋉)	k	k	k	ˀk	ˀŋ	m	kʷ	m	kʰ	∅	ŋ	ɡ	kʷ	kʷˀ	kʷ
18.0	*tˀ	(⋊) __ (e) (⋉)	tˀ	tˀ	ɾ	ɾ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	ɾ	tˀ
19.0	*o	(⋊) (ɲ) (ã) (pˀ|ˀp) __ (⋉)	o	ũ	ũ	ũ	o	o	o	o	o	o	o	o	o	o	o
20.0	*o	(⋊) (pˀ|ˀp) (i) (p) __ (⋉)	o	o	e	e	i	o	o	o	o	o	e	o	o	o	o
21.0	*u	(⋊) (j) (ẽ) (kː) __ (⋉)	ɨ̃	ɨ̃	ɨ̃	ɨ̃	ɨ̃	u	ɨ	u	u	u	ɨ̃	u	u	u	u
22.0	*∅	(⋊) __ (t|tʲ) (u) (⋉)	t	∅	tʰ	t	∅	∅	∅	∅	∅	t	t	∅	∅	∅	∅
23.0	*ĩ	(⋊) (s) __ (kˀ|ˀk) (e) (⋉)	ĩ	ã	a	ã	ĩ	ĩ	ĩ	ĩ	ĩ	ĩ	ĩ	ĩ	ĩ	ĩ	ĩ
24.0	*∅	(⋊) (pˀ|ˀp) (o) __ (⋉)	t	t	ˀt	t	d	∅	∅	i	∅	∅	t	∅	∅	∅	∅
25.0	*∅	(⋊) (tˀ|ˀt) (õ) (m) (i) __ (⋉)	õ	õ	n	õ	õ	∅	o	∅	o	∅	õ	∅	∅	∅	o
26.0	*∅	(⋊) (p) (u) __ (⋉)	t	∅	t	t	d	∅	∅	∅	i	∅	t	∅	i	∅	∅
27.0	*∅	(⋊) (j) (ɨ) __ (i) (⋉)	∅	∅	t	t	d	∅	∅	ˀt	∅	∅	t	∅	∅	∅	∅
28.0	*kˀ	(⋊) __ (ɨ) (pˀ|ˀp) (o) (⋉)	ɾ	d	d	d	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ
29.0	*w	(⋊) __ (u) (ɨ) (⋉)	b	w	b	w	w	w	w	b	w	b	w	w	w	w	w
30.0	*ɨ	(⋊) (kʷ) __ (tˀ|ˀt) (e) (⋉)	ɨ	ɨ	o	o	o	ɨ	ɨ	ɨ	ɨ	o	o	o	ɨ	ɨ	ɨ
31.0	*kʷ	(⋊) __ (ɨ) (tˀ|ˀt) (e) (⋉)	kʷ	kʷ	k	k	k	h	∅	kʷ	kʷ	k	k	k	kʷ	kʷ	∅
32.0	*õ	(⋊) (kˀ|ˀk) __ (p) (i) (⋉)	o	õ	∅	u	õ	õ	ũ	o	õ	õ	u	õ	ũ	õ	õ
33.0	*∅	(⋊) (t͡ʃ) (õ) (pˀ|ˀp) (ɨ) __ (⋉)	∅	ã	k	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
34.0	*∅	(⋊) (k|kʲ) (ã) __ (⋉)	n	n	n	n	∅	∅	∅	ɾ	∅	∅	∅	∅	∅	∅	∅
35.0	*∅	(⋊) __ (n) (o) (⋉)	∅	∅	n	∅	∅	∅	∅	ɾ	∅	∅	∅	∅	∅	∅	∅
36.0	*p	(⋊) (pˀ|ˀp) (o) __ (a) (⋉)	p	p	∅	ˀm	m	p	p	p	p	p	m	p	p	p	p
37.0	*ã	(⋊) (t͡s) __ (kˀ|ˀk) (ɨ) (⋉)	ã	ã	a	a	ã	ã	ã	ã	ã	ã	ã	ã	ã	ã	ã
38.0	*j	(⋊) (t|tʲ) (a) __ (a) (⋉)	∅	∅	∅	j	j	j	j	j	j	∅	j	j	j	j	j
39.0	*o	(⋊) (n) __ (⋉)	ũ	o	ɨ̃	ũ	o	o	o	i	o	o	o	o	o	o	o
40.0	*p	(⋊) (tˀ|ˀt) (ɨ̃) __ (o) (⋉)	m	m	m	m	p	p	p	m	p	p	p	p	p	p	p
41.0	*õ	(⋊) (t͡ʃ) __ (pˀ|ˀp) (ɨ) (⋉)	õ	õ	ɨ̃	õ	õ	õ	õ	õ	õ	õ	õ	ũ	õ	õ	õ
42.0	*i	(⋊) (w) (ã) (m) __ (⋉)	ẽ	ẽ	ã	ẽ	i	i	i	ẽ	i	i	ẽ	i	i	i	i
43.0	*e	(⋊) (w) (ɨ) (ʔ) __ (⋉)	e	e	ɨ	e	e	i	e	i	e	e	e	e	e	e	e
44.0	*ɨ̃	(⋊) (w) __ (p) (o) (⋉)	ɨ̃	ɨ	ɨ	ɨ̃	u	ɨ̃	ɨ̃	ɨ̃	ɨ̃	õ	ɨ	ɨ̃	ɨ̃	ɨ̃	o
45.0	*ɨ̃	(⋊) (tˀ|ˀt) __ (p) (o) (⋉)	ɨ̃	ɨ̃	ã	ɨ̃	ɨ̃	ɨ̃	ɨ̃	ũ	ɨ	ɨ̃	ɨ̃	ɨ̃	ɨ̃	ɨ̃	ɨ̃
46.0	*ẽ	(⋊) (t͡s) __ (s) (e) (⋉)	ẽ	e	e	e	e	e	ẽ	ẽ	ẽ	ẽ	e	e	ẽ	ẽ	ẽ
47.0	*ũ	(⋊) (t͡s) __ (kː) (ɨ) (⋉)	u	u	u	u	u	o	ũ	ũ	ũ	o	u	ũ	ũ	ũ	ũ
48.0	*o	(⋊) (s) __ (t|tʲ) (⋉)	o	o	i	ɨ	o	o	o	o	o	o	o	o	o	o	o
49.0	*w	(⋊) __ (ã) (m) (i) (⋉)	w	w̃	w̃	w̃	w̃	w	w	w̃	m	w	w̃	w	w	w	w
50.0	*t	(⋊) __ (a) (kː) (e) (⋉)	∅	∅	k	∅	ɡ	t	t	t	t	t	ɡ	t	t	t	t
51.0	*u	(⋊) (t͡s) __ (s) (i) (⋉)	u	u	j	u	u	u	u	u	ũ	u	u	u	u	u	u
52.0	*s	(⋊) (s) (i) __ (i) (⋉)	∅	s	ˀs	s	s	s	s	s	s	s	s	s	s	s	s
53.0	*u	(⋊) (pˀ|ˀp) __ (p) (i) (⋉)	u	i	i	i	i	u	u	ĩ	u	u	ĩ	u	u	u	u
54.0	*∅	(⋊) (s) (o) (t|tʲ) __ (⋉)	ɨ	ɨ	u	ɨ	o	∅	o	o	o	o	ɨ	∅	o	∅	o
55.0	*∅	(⋊) __ (s) (ĩ) (kˀ|ˀk) (e) (⋉)	∅	t	tʰ	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
56.0	*pˀ	(⋊) __ (o) (p) (e) (⋉)	pˀ	∅	p	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ
57.0	*p	(⋊) (pˀ|ˀp) (o) __ (e) (⋉)	p	p	ʔ	p	p	p	p	p	p	p	p	p	p	p	ʔ
58.0	*i	(⋊) (pˀ|ˀp) (o) (tˀ|ˀt) __ (k|kʲ) (a) (⋉)	i	i	e	e	i	e	i	i	i	i	e	i	i	i	i
59.0	*ĩ	(⋊) (p) __ (k|kʲ) (o) (⋉)	ĩ	ĩ	i	ĩ	ĩ	ĩ	ɨ̃	ĩ	ĩ	ĩ	ĩ	ĩ	ĩ	ĩ	ĩ
60.0	*k	(⋊) (pˀ|ˀp) (o) (tˀ|ˀt) (i) __ (a) (⋉)	k	k	∅	∅	k	k	k	k	k	k	k	k	k	k	k
61.0	*u	(⋊) (p) (ã) (m) __ (⋉)	õ	u	õ	u	õ	u	u	u	u	u	õ	u	u	õ	u
62.0	*p	__ (a|o|e|u|ɨ|i|ã|õ|ĩ|ũ|ɨ̃|ẽ)	p	p	p	p	p	p	h	ɸ	h	p	h	p	h	p	h
63.0	*kː	(a|o|e|u|ɨ|i|ã|õ|ĩ|ũ|ɨ̃|ẽ) __ (o|e|u|ɨ|i)	k	k	kː	k	k	kː	k	kː	kː	k	k	kː	k	kː	k
64.0	*pˀ	__ (a|o|u|ɨ)	pˀ	pˀ	pˀ	pˀ	pˀ	pˀ	h	pˀ	h	pˀ	pˀ	pˀ	h	pˀ	h
65.0	*tˀ	(ŋ|m|ʔ|k|ɡ|p|b|kʲ|kʷ|kʷˀ|kˀ|pˀ|ʔʷ|ˀb|ˀk|ˀm|ˀp|ˀŋ|ˀɡ) (ɨ) __ (a|o|e)	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	t	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	t
66.0	*h	(ŋ|m|k|ɡ|ɸ|p|b|j|j̃|kʲ) (a) __ (a|e|ɨ|i)	∅	h	h	h	h	h	∅	h	h	h	h	h	h	h	h
67.0	*tˀ	(⋊) __ (õ|ũ|ɨ̃)	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	n	tˀ	tˀ	tˀ	tˀ	tˀ	n	tˀ	tˀ
68.0	*w	(⋊) __ (ã|ɨ̃)	w	w	w	w	w	w	m	w	w	∅	w	w	m	w	m
69.0	*t͡s	(⋊) __ (a|e|ã|ẽ)	ɲ	t͡s	t͡s	t͡s	t͡s	t͡s	n	t͡s	t͡s	t͡s	ɲ	t͡s	t͡s	t͡s	t͡s
70.0	*t͡s	(⋊) __ (ã|ĩ|ɨ̃|ẽ)	ɲ	t͡s	t͡s	t͡s	t͡s	t͡s	n	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s
71.0	*ã	(⋊) (pˀ|ˀp) (ã) (t͡s) __ (⋉)	ã	o	ã	ã	ã	ã	ĩ	ã	i	ã	ã	ã	ã	ã	i
72.0	*j	(⋊) (ã) __ (a) (⋉)	j	j	j	j	j	j	ɲ	j	j	j	j	j	j	ɲ	j
